fit_id,vibe_name,fit,accessory,fit_emoji
1,Dramatic Weather Era,"Waterproof shell jacket, rain boots, dark jeans. Prepared but make it fashion.",Umbrella and a waterproof bag.,☂️
2,Lo-Fi Chill Day,"Oversized hoodie or tee, joggers or shorts, comfy shoes. Cozy with low effort.",Headphones and your favorite drink.,🎧
3,Hot Mess Express,"Lightweight shorts, a moisture-wicking tee, waterproof sandals. There is no winning outfit today, just damage control.",A compact umbrella and the acceptance that your hair is not going to cooperate.,☔
4,Unhinged Wind Day,"Fitted athletic wear, windbreaker, baseball cap pulled low. Aerodynamic on purpose.",Cap and lip balm.,🧢
5,Offensively Hot,"Linen shorts, breathable tee, sandals, sunglasses. Surrender to the heat gracefully.",Sunglasses and SPF 50.,🕶️
6,Almost Too Much,"Lightweight shorts, a loose breathable tee, slip-on sneakers. Minimal layers and maximum airflow.",Water bottle and some ice cream just in case.,💧
7,Just Let It Go Day,"Puffer jacket, thermal underlayer, beanie, boots. Full armor.",Gloves and hand warmers.,🧤
8,Main Character Energy,"Light wash jeans, tucked-in tee, clean sneakers. You look good and you know it.",Fresh kicks and your favorite playlist.,🎵
9,Soft Launch Day,"Relaxed trousers or straight-leg pants, a light crewneck, clean shoes. Quietly put together.",A light jacket tied around the waist just in case.,🧥
10,Cozy Blanket Day,"Fleece pullover, corduroy pants, chunky knit beanie. Warm without trying too hard.",Scarf and a thermos.,🧣
11,Existential Meh,Whatever is clean. No one including the weather has strong feelings today.,A bag because you probably have somewhere to be.,🎒
